Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
"Meta 1: Reducir la conversión de los bosques en otros tipos de coberturas en un 40% con respecto a los niveles de 2000-2010, con la mejora de la cobertura vegetal de aquí al año 2030. ","Meta 1: Reduce forest conversion into other types of land cover by 40% compared to levels in 2000-2010, with the improvement of vegetation cover by the year 2030.",Equatorial Guinea,GNQ,Participation in the LDN Target Setting Programme,NA,2030,Nacional,"There is no direct meaning for the word ""Nacional"" in English.",NA,"Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"United Nations Framework Convention
(Unofficial English translation generated by Artificial Intelligence: National Convention for Combating Desertification and Drought)
",active,NA,NA
"Meta 2: Mejorar la productividad y el stock de carbono de los suelos, especialmente las 
zonas de arbustos y pastizales, las zonas húmedas y áreas artificiales, de aquí al año 2030","Meta 2: Improve soil productivity and carbon stock, especially in shrub and grassland areas, wetlands, and artificial areas, by the year 2030.",Equatorial Guinea,GNQ,Participation in the LDN Target Setting Programme,NA,2030,Nacional,"There is no meaning in the text ""Nacional"" as it already means ""national"" in English.",NA,"Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_achieved,"Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
"Meta 3: La Noción de NDT está integrada en los textos legales y reglamentarios de aquí al 
año 2025",Meta 3: The concept of LDN is integrated into legal and regulatory texts by the year 2025.,Equatorial Guinea,GNQ,Participation in the LDN Target Setting Programme,NA,2025,Nacional,"There is no meaning to the text ""Nacional"" as it is already in English.",NA,"Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"United Nations Framework Convention
",active,NA,NA
"Meta 4: Promover la investigación y los conocimientos sobre la gestión sostenible de suelos, a través de una constante movilización de fondos de aquí al año 2030.","Meta 4: Promote research and knowledge on sustainable soil management, through constant mobilization of funds until the year 2030.",Equatorial Guinea,GNQ,Participation in the LDN Target Setting Programme,NA,2030,Nacional,National,NA,"Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_achieved,"United Nations Framework Convention
",active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,"Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,"Avoid
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,"Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,"Avoid
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
NA,NA,Equatorial Guinea,GNQ,2022 reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA
